Muscle Name,Negative Force (F_iso)
fdl_r,-0.0009495832591463966
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
edl_l,-0.0011257800365724973
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
edl_l,-0.0011257800365724973
ehl_l,-0.001218945473052501
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
edl_l,-0.0011257800365724973
ehl_l,-0.001218945473052501
fdl_l,-0.0008662359899086999
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
edl_l,-0.0011257800365724973
ehl_l,-0.001218945473052501
fdl_l,-0.0008662359899086999
fhl_l,-0.0001142603524826679
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
edl_l,-0.0011257800365724973
ehl_l,-0.001218945473052501
fdl_l,-0.0008662359899086999
fhl_l,-0.0001142603524826679
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
edl_l,-0.0011257800365724973
ehl_l,-0.001218945473052501
fdl_l,-0.0008662359899086999
fhl_l,-0.0001142603524826679
fdl_r,-0.0009495832591463966
fhl_r,-0.0007969248717047865
perlong_r,-0.00010846967258860115
piri_r,-0.0005638725726834173
tibpost_r,-0.0008991609898548831
