Timestep,C7,LANK,LASI,LBiceps,LClavicle,LD1M,LElbow,LForearm,LHEE,LKNE,LLCA,LMElbow,LMT5,LPSI,LSH1,LSH2,LSH3,LSTL,LShoulder,LTH1,LTH2,LTH3,LTHI,LTIB,LTOE,LWrist,RANK,RASI,RBiceps,RD1M,RElbow,RForearm,RHEE,RKNE,RLCA,RMElbow,RMT5,RPSI,RSH1,RSH2,RSTL,RShoulder,RTH1,RTH2,RTH3,RTHI,RTIB,RTOE,RWrist
All Timesteps RMSE,0.0150894,0.0230569,0.0206084,0.0126121,0.0142706,0.0145772,0.0205871,0.0113026,0.0238399,0.0140913,0.0179485,0.0264326,0.0225377,0.0187197,0.0104764,0.0108646,0.0121979,0.0195121,0.00962899,0.0157633,0.0123773,0.0122635,0.0154222,0.0103771,0.0142196,0.0184708,0.0309392,0.0172989,0.00941167,0.0127573,0.0419333,0.00850563,0.019063,0.0134028,0.0168059,0.0266125,0.0194268,0.0172388,0.0116777,0.0125539,0.0161134,0.0168913,0.0115199,0.0133264,0.0121103,0.0143442,0.00955166,0.0143034,0.0108824
0,0.018521,0.019096,0.0146282,0.0244178,0.0247051,0.0171435,0.017706,0.0296059,0.0379773,0.0273677,0.0243631,0.0429711,0.0271091,0.0343016,0.021478,0.0185664,0.0222933,0.0255977,0.0245143,0.0286398,0.0191977,0.0177541,0.0296351,0.0182463,0.015129,0.0184902,0.0409726,0.0171555,0.0170736,0.0487765,0.0388761,0.0148796,0.055171,0.0148925,0.0299657,0.040249,0.0500785,0.031292,0.0404961,0.0350583,0.0342274,0.0256043,0.0150255,0.0133755,0.0154546,0.0149913,0.0320004,0.0432188,0.0178502
1,0.0181889,0.0183837,0.0143554,0.0242343,0.024285,0.0171529,0.0170569,0.0293241,0.0379628,0.0272425,0.0240029,0.0426848,0.0276921,0.0340107,0.0211351,0.0185347,0.0222027,0.0249552,0.0240288,0.0282962,0.0188765,0.0175075,0.029286,0.0179909,0.0150649,0.0181438,0.0400408,0.0169921,0.016555,0.0478129,0.0391346,0.0144701,0.0542534,0.0148539,0.0290301,0.0396651,0.0493008,0.0310236,0.0396502,0.0342351,0.0332957,0.0251395,0.0147013,0.013083,0.01506,0.0148292,0.0311944,0.0424023,0.0170883
2,0.0179423,0.0177426,0.0141604,0.0241218,0.0239645,0.017232,0.0164774,0.02912,0.037967,0.0271547,0.0236901,0.0424586,0.0282352,0.0337699,0.0208364,0.0185312,0.0221417,0.0243803,0.0236566,0.0279967,0.0186042,0.0173107,0.0289816,0.0177748,0.0150684,0.0178856,0.0391496,0.0168774,0.0160998,0.0468778,0.0393511,0.0141241,0.0533798,0.0148695,0.0281424,0.0391389,0.048551,0.030806,0.0388424,0.0334616,0.032403,0.0247911,0.0144125,0.0128425,0.0147155,0.014699,0.0304285,0.0416081,0.016411
3,0.0178811,0.0171962,0.0141429,0.0241551,0.0238669,0.0173726,0.0160369,0.0290807,0.0379866,0.0271589,0.0234339,0.0423562,0.0287151,0.0336415,0.0206219,0.0185988,0.0221448,0.0238827,0.0235435,0.027803,0.0184389,0.0172303,0.0287797,0.0176469,0.0151336,0.0178167,0.0383302,0.01686,0.0157701,0.0459925,0.0394568,0.0138832,0.0525897,0.0149683,0.0273366,0.0387344,0.0478387,0.0307005,0.0380999,0.0327795,0.0315816,0.0247076,0.0141878,0.0127098,0.0144688,0.0146299,0.0297342,0.0408458,0.0158837
4,0.0178326,0.0167021,0.0141367,0.0241979,0.0237864,0.0175549,0.015614,0.029054,0.0380153,0.0271628,0.023208,0.0422645,0.0291592,0.0335211,0.020424,0.018668,0.0221547,0.023438,0.0234484,0.0276126,0.0182862,0.0171571,0.0285853,0.0175281,0.0152326,0.0177662,0.0375301,0.0168488,0.015455,0.0451203,0.0395582,0.0136586,0.0518164,0.0150891,0.0265554,0.0383448,0.0471436,0.0306023,0.0373762,0.03212,0.0307771,0.0246449,0.0139791,0.0125906,0.014239,0.0145713,0.0290601,0.0400951,0.0153834
5,0.0176625,0.016227,0.0140104,0.0241478,0.02356,0.0177686,0.0151144,0.0289234,0.0380497,0.0270935,0.0229929,0.0420976,0.029592,0.033327,0.0201905,0.0186819,0.0221262,0.0230289,0.0231802,0.0273433,0.0180701,0.017004,0.0283219,0.0173547,0.01535,0.0176007,0.036709,0.0167768,0.0150692,0.0442333,0.0397431,0.0133904,0.0510075,0.0151879,0.0257556,0.0378857,0.046451,0.03043,0.0366349,0.0314285,0.0299477,0.0244077,0.0137466,0.012411,0.013963,0.0144823,0.0283657,0.0393429,0.0148217
6,0.0173771,0.0157706,0.0137672,0.0240107,0.0231911,0.0180097,0.0145423,0.028693,0.0380887,0.0269526,0.0227871,0.0418595,0.0300127,0.0330624,0.0199231,0.018641,0.0220597,0.0226552,0.0227423,0.0269956,0.0177914,0.0167719,0.027991,0.0171284,0.0154829,0.0173244,0.0358687,0.0166503,0.0146188,0.0433328,0.0400115,0.0130894,0.050165,0.0152678,0.0249398,0.0373589,0.0457623,0.0301861,0.0358777,0.0307053,0.0290955,0.0239997,0.0134906,0.0121727,0.0136415,0.0143641,0.0276517,0.0385904,0.0142093
7,0.017119,0.0153638,0.0135465,0.0238955,0.0228534,0.0182738,0.0139985,0.0284871,0.0381307,0.0268166,0.0226044,0.0416414,0.0303928,0.0328147,0.0196773,0.0186043,0.0220018,0.0223302,0.0223379,0.0266574,0.0175304,0.016553,0.0276739,0.016917,0.0156305,0.017078,0.035053,0.0165407,0.0141949,0.0424492,0.04027,0.01282,0.0493439,0.0153719,0.0241551,0.036854,0.0450923,0.0299577,0.0351441,0.0300088,0.0282657,0.0236267,0.013252,0.0119537,0.0133419,0.0142579,0.0269613,0.0378521,0.0136412
8,0.0170452,0.0150414,0.0135108,0.0239199,0.0227463,0.0185504,0.0135917,0.0284454,0.0381726,0.0267764,0.0224599,0.0415441,0.0306971,0.0326834,0.0195182,0.0186414,0.022007,0.0220677,0.0222055,0.0264322,0.0173836,0.0164558,0.0274652,0.0168001,0.0157859,0.0170224,0.0343116,0.0165199,0.0138917,0.0416177,0.0404036,0.012634,0.0486087,0.0155435,0.0234534,0.0364746,0.0444558,0.0298435,0.0344793,0.0294063,0.027509,0.0235301,0.0130786,0.0118433,0.0131421,0.0142121,0.0263446,0.0371428,0.0132088
9,0.0169932,0.0147613,0.0134966,0.0239594,0.0226672,0.0188327,0.0132081,0.0284228,0.0382122,0.0267407,0.0223317,0.0414623,0.0309586,0.0325671,0.0193797,0.0186822,0.0220195,0.0218467,0.022106,0.0262169,0.0172553,0.0163713,0.0272698,0.0166987,0.0159385,0.0169927,0.0335935,0.0165087,0.0136083,0.0408023,0.0405238,0.0124646,0.0478947,0.015731,0.0227804,0.0361159,0.0438358,0.0297428,0.0338373,0.0288292,0.0267735,0.0234666,0.0129215,0.0117498,0.0129629,0.0141773,0.0257509,0.0364458,0.0128077
10,0.0168282,0.0144895,0.0133649,0.0239132,0.0224461,0.0191184,0.0127543,0.0283006,0.0382484,0.0266326,0.022203,0.04131,0.0312075,0.0323807,0.0192067,0.0186663,0.0219916,0.0216511,0.0218355,0.0259233,0.0170636,0.0162066,0.0270072,0.0165454,0.016085,0.0168517,0.0328569,0.0164468,0.0132634,0.0399737,0.0407279,0.0122689,0.0471469,0.015896,0.0220931,0.0356892,0.0432204,0.0295719,0.0331796,0.0282196,0.0260167,0.0232299,0.0127383,0.0115967,0.0127372,0.0141108,0.0251378,0.0357485,0.0123634
