Timestep,C7,LANK,LASI,LBiceps,LClavicle,LD1M,LElbow,LForearm,LHEE,LKNE,LLCA,LMAnkle,LMElbow,LMKnee,LMT5,LPSI,LSH1,LSH2,LSH3,LSTL,LShoulder,LTH1,LTH2,LTH3,LTHI,LTIB,LTOE,LWrist,RANK,RASI,RBiceps,RD1M,RElbow,RForearm,RHEE,RKNE,RLCA,RMAnkle,RMElbow,RMKnee,RMT5,RPSI,RSH1,RSH2,RSTL,RShoulder,RTH1,RTH2,RTH3,RTHI,RTIB,RTOE,RWrist
All Timesteps RMSE,0.0372926,0.0205643,0.0380771,0.0175138,0.0431682,0.0167747,0.0280293,0.0159937,0.0190877,0.0195398,0.0241881,0.0159213,0.0148222,0,0.0229866,0.0711511,0.0150181,0.0161479,0.0159341,0.0166247,0.0265523,0.0211311,0.025085,0.0240656,0.0205673,0.0162388,0.0168208,0.0142623,0.0196698,0.0263952,0.0180479,0.018404,0.0196992,0.0136963,0.0191762,0.0180042,0.0222921,0.0191785,0.0187729,0,0.0214597,0.0630445,0.0152706,0.0132937,0.0168037,0.0420212,0.0160681,0.019446,0.0170792,0.017596,0.0131167,0.0187743,0.0198898
0,0.0517584,0.0149217,0.00790652,0.0162578,0.0742362,0.0185332,0.0175682,0.0146917,0.0293959,0.0244415,0.024158,0.0164875,0.017613,0,0.0204454,0.07578,0.0199645,0.0188023,0.0199146,0.0216227,0.0221404,0.0216895,0.0284013,0.0177858,0.0290875,0.017574,0.0177362,0.0234569,0.0436065,0.00645029,0.0389849,0.04977,0.0228083,0.0208678,0.0474833,0.0344335,0.0504853,0.0471696,0.0298357,0,0.0523363,0.0723962,0.041074,0.0383483,0.0447613,0.0650472,0.0356213,0.0339125,0.0360849,0.0329859,0.037275,0.0466227,0.033436
1,0.0516537,0.0144917,0.00788817,0.0158782,0.07411,0.0187888,0.0175756,0.0145116,0.0291084,0.0240914,0.0238106,0.0167281,0.0172332,0,0.0209431,0.0757133,0.0198369,0.0188462,0.0199848,0.0213421,0.0217167,0.0213113,0.0280958,0.0174794,0.0286469,0.0174719,0.0182006,0.0230916,0.0423453,0.00659534,0.0385295,0.0485635,0.0226716,0.0202977,0.0464178,0.033623,0.0493479,0.0460549,0.0296104,0,0.0510232,0.0723759,0.0399245,0.0373034,0.0436409,0.0647305,0.0349782,0.033344,0.0354418,0.0324098,0.036151,0.0452862,0.0325089
2,0.0515858,0.0141017,0.00787586,0.0155931,0.0740258,0.0190596,0.0176263,0.014408,0.0288455,0.02377,0.0234894,0.0169982,0.0169161,0,0.0214011,0.0756816,0.0197408,0.0189018,0.0200693,0.0210961,0.0213984,0.0209678,0.0278022,0.0171903,0.0282317,0.017397,0.0186396,0.0227593,0.0411423,0.00669517,0.0381651,0.0474037,0.0225878,0.0198108,0.045411,0.0328661,0.0482733,0.0449923,0.0293987,0,0.0497622,0.0723828,0.0388306,0.0363202,0.0425753,0.0644954,0.0343623,0.0328038,0.0348311,0.0318572,0.0350829,0.0439959,0.0316746
3,0.051596,0.0137665,0.00787793,0.015493,0.0740361,0.0193478,0.0177115,0.0144149,0.0286135,0.0235091,0.0232051,0.0172982,0.0166941,0,0.0218063,0.0757243,0.0196957,0.018988,0.0201858,0.0208895,0.0213182,0.0207005,0.0275255,0.0169326,0.0278711,0.0173717,0.0190465,0.0224557,0.0400509,0.00667136,0.0380052,0.046331,0.0226065,0.0195033,0.0445165,0.0322143,0.0473118,0.0440288,0.0292018,0,0.0485924,0.0724461,0.0378407,0.0354543,0.0416175,0.0644481,0.0338014,0.0323182,0.0342846,0.0313515,0.0341207,0.0427928,0.0310403
4,0.0516116,0.0134562,0.00788498,0.0154107,0.0740499,0.0196389,0.0178079,0.0144384,0.028397,0.0232589,0.0229388,0.0176049,0.0164877,0,0.0221799,0.0757728,0.0196639,0.0190729,0.0203021,0.0207064,0.0212567,0.0204422,0.0272558,0.0166824,0.0275189,0.0173562,0.01943,0.0221655,0.0389828,0.00664147,0.0378609,0.0452778,0.0226288,0.0192122,0.0436441,0.0315853,0.0463786,0.043086,0.0290084,0,0.0474486,0.072513,0.0368749,0.0346146,0.04068,0.0644133,0.0332501,0.0318403,0.0337483,0.0308525,0.0331831,0.0416094,0.0304306
5,0.051576,0.0131469,0.0078806,0.0152216,0.0739966,0.019923,0.0179161,0.014423,0.0281837,0.0229772,0.0226761,0.0179015,0.0162479,0,0.0225394,0.0757746,0.0196178,0.0191315,0.0203932,0.0205349,0.0210387,0.0201387,0.0269856,0.0164196,0.027137,0.0173195,0.0197967,0.021888,0.037868,0.00670299,0.0375818,0.0441915,0.0225833,0.0188103,0.0427225,0.030912,0.0454082,0.0421012,0.0288138,0,0.0462804,0.0725443,0.0358706,0.0337276,0.0396932,0.0642514,0.0326715,0.0313339,0.0331797,0.0303288,0.0322047,0.0403916,0.0297044
6,0.0514919,0.0128372,0.00786165,0.0149351,0.0738782,0.0201982,0.0180491,0.0143834,0.027973,0.0226638,0.0224167,0.0181848,0.0159884,0,0.0228851,0.075732,0.0195575,0.0191641,0.0204596,0.0203738,0.0206674,0.01979,0.0267153,0.0161445,0.0267255,0.0172626,0.0201464,0.0216326,0.0367078,0.00685828,0.0371714,0.0430732,0.0224773,0.0183009,0.0417539,0.0301953,0.0444036,0.0410759,0.0286216,0,0.0450905,0.0725425,0.0348298,0.0327949,0.0386581,0.0639656,0.0320661,0.0308002,0.0325796,0.0297817,0.0311866,0.0391403,0.0288631
7,0.0514193,0.0125472,0.00784519,0.0146838,0.0737704,0.0204695,0.0182048,0.0143777,0.0277741,0.022363,0.0221751,0.0184613,0.0157615,0,0.0231985,0.0757016,0.0195104,0.0191967,0.0205264,0.0202314,0.0203284,0.019454,0.0264531,0.0158778,0.0263242,0.0172172,0.0204711,0.0214003,0.0355769,0.00700344,0.0367887,0.0419795,0.0223862,0.0178196,0.0408142,0.0295066,0.0434348,0.0400759,0.0284372,0,0.0439336,0.0725498,0.0338193,0.0318948,0.037649,0.0637033,0.0314721,0.0302778,0.0319932,0.0292446,0.0301983,0.0379135,0.0280562
8,0.0514238,0.0122996,0.00785077,0.0146047,0.073758,0.0207436,0.0183515,0.014443,0.0275972,0.0221293,0.0219677,0.0187384,0.0156016,0,0.0234584,0.0757461,0.0195073,0.0192601,0.0206218,0.020118,0.0202382,0.0192001,0.026206,0.0156423,0.025981,0.0172184,0.0207615,0.0211717,0.0345635,0.00700692,0.0366195,0.0409771,0.0223855,0.0175212,0.0399911,0.0289306,0.0425817,0.0391802,0.0282572,0,0.0428705,0.0726113,0.0329175,0.0311182,0.036753,0.0636374,0.0309346,0.0298104,0.0314723,0.0287551,0.0293222,0.0367784,0.0274602
