Muscle Name,Negative Force (F_iso)
semimem_r,-0.00183714406855318
semimem_r,-0.00183714406855318
semimem_r,-0.00183714406855318
semimem_r,-0.00183714406855318
semimem_r,-0.00183714406855318
semimem_r,-0.00183714406855318
semimem_r,-0.00183714406855318
semimem_r,-0.00183714406855318
semimem_r,-0.00183714406855318
semimem_r,-0.00183714406855318
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
addmagIsch_l,-0.004435131773720329
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
addmagIsch_l,-0.004435131773720329
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
addmagIsch_l,-0.004435131773720329
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
addmagIsch_l,-0.004435131773720329
bflh_l,-0.0037781860776240923
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
addmagIsch_l,-0.004435131773720329
bflh_l,-0.0037781860776240923
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
addmagIsch_l,-0.004435131773720329
bflh_l,-0.0037781860776240923
edl_l,-0.002043767176297303
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
addmagIsch_l,-0.004435131773720329
bflh_l,-0.0037781860776240923
edl_l,-0.002043767176297303
ehl_l,-0.0019779075912068774
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
addmagIsch_l,-0.004435131773720329
bflh_l,-0.0037781860776240923
edl_l,-0.002043767176297303
ehl_l,-0.0019779075912068774
fdl_l,-0.0031532290146880186
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
addmagIsch_l,-0.004435131773720329
bflh_l,-0.0037781860776240923
edl_l,-0.002043767176297303
ehl_l,-0.0019779075912068774
fdl_l,-0.0031532290146880186
fhl_l,-0.005212903215922379
semimem_r,-0.00183714406855318
addlong_l,-0.004447809924742611
addmagDist_l,-0.00025560284660686877
addmagIsch_l,-0.004435131773720329
bflh_l,-0.0037781860776240923
edl_l,-0.002043767176297303
ehl_l,-0.0019779075912068774
fdl_l,-0.0031532290146880186
